NameLast,ThreatStartDate,ThreatEndDate
Ackerman,2011-01-13,2011-01-13
Baldwin,2025-06-14,2025-06-14
Banks,2021-04-06,2021-04-11
Barr,2014-05-05,2014-07-17
Barrasso,2021-01-28,2021-01-28
Barton,2017-06-14,2017-06-14
Beatty,2025-06-14,2025-06-14
Bennet,2010-12-05,2011-11-06
Bergman,2017-06-14,2017-06-14
Black,2018-05-15,2018-05-15
Blum,2018-08-22,2018-08-22
Blumenthal,2019-01-17,2019-01-17
Blunt,2016-06-14,2016-06-14
Boccieri,2010-03-04,2010-03-04
Boebert,2021-01-03,2021-02-04
Boebert,2021-08-31,2021-09-17
Boehner,2012-02-18,2012-02-20
Boehner,2014-10-28,2014-10-29
Booker,2018-10-16,2018-10-16
Booker,2018-10-24,2018-10-24
Booker,2019-01-17,2019-01-17
Booker,2019-04-16,2019-04-16
Booker,2025-03-27,2025-06-13
Boxer,2011-07-01,2011-07-01
Boxer,2001-12-12,2001-12-12
Brecheen,2025-01-18,2025-07-23
Brooks,2017-06-14,2017-06-14
Brown,2019-08-28,2019-08-28
Brown,2012-05-01,2012-05-01
Brown-Waite,2010-03-25,2010-03-25
Budzinski,2025-06-14,2025-06-14
Burr,2020-01-07,2020-01-07
Burr,2020-03-20,2020-03-20
Burr,2021-09-29,2021-09-29
Bustos,2017-10-31,2017-10-31
Cantor,2011-10-27,2011-10-27
Cantor,2010-03-26,2010-03-26
Capps,2009-03-01,2009-03-01
Carl,2020-02-03,2020-02-03
Carson,2021-01-06,2021-01-06
Casey,2011-09-16,2011-09-16
Castor,2024-05-01,2024-05-01
Castro,2023-11-30,2024-07-07
Castro,2025-06-14,2025-06-14
Chambliss,2005-06-10,2005-06-10
Clark,2019-08-19,2019-08-19
Cleaver,2021-01-07,2021-01-07
Cohen,2019-05-06,2019-05-06
Collins,2018-09-27,2018-09-27
Collins,2009-02-10,2009-02-10
Collins,2018-10-15,2018-10-17
Collins,2015-08-31,2015-08-31
Collins,2020-11-06,2020-11-11
Collins,2021-02-15,2021-03-11
Connolly,2023-05-15,2023-05-15
Conrad,2007-05-10,2007-05-10
Conyers,2001-09-01,2001-09-01
Cornyn,2025-07-02,2025-07-03
Costa,2023-10-11,2023-10-25
Craig,2023-02-09,2023-02-09
Crank,2025-04-11,2025-04-11
Crawford,2019-09-23,2019-09-23
Cruz,2022-02-21,2022-02-21
Cruz,2022-06-26,2022-06-26
Cruz,2022-07-18,2022-07-22
Cruz,2022-11-07,2022-11-07
Cruz,2025-01-09,2025-01-10
Curbelo,2018-10-18,2018-10-18
Davis,2019-11-25,2019-11-25
Dingell,2025-06-14,2025-06-14
Donnelly,2011-01-24,2011-01-24
Dorgan,2007-05-10,2007-05-10
Dreier,2008-06-12,2008-06-12
Duncan,2017-06-14,2017-06-14
Durbin,2017-01-17,2018-10-29
Ernst,2017-07-05,2017-07-05
Ernst,2017-08-13,2017-08-13
Escobar,2025-06-14,2025-06-14
Etheridge,2008-06-17,2008-06-17
Farr,2013-03-25,2013-03-25
Feinstein,2018-09-30,2018-09-30
Fine,2024-08-15,2024-09-04
Fischer,2025-01-09,2025-01-10
Flake,2017-06-14,2017-06-14
Flake,2018-07-06,2018-07-06
Flake,2018-09-17,2018-09-17
Fleischmann,2017-06-14,2017-06-14
Franken,2017-06-02,2018-07-20
Gabbard,2013-08-01,2013-08-03
Gabbard,2016-08-19,2016-08-19
Gaetz,2020-11-04,2020-11-04
Gaetz,2021-01-09,2021-01-09
Gaetz,2021-01-28,2021-01-28
Gaetz,2023-03-29,2023-03-29
Gallagher,2023-12-23,2024-01-09
Garamendi,2022-11-03,2022-11-03
Garbarino,2021-11-08,2021-11-10
Gardner,2020-03-09,2020-03-09
Giffords,2011-01-08,2011-01-08
Gillibrand,2018-07-15,2018-10-23
Gillibrand,2019-01-17,2019-01-17
Graham,2020-11-04,2020-11-04
Graham,2020-12-07,2020-12-07
Graham,2012-11-27,2017-11-12
Grassley,2018-09-27,2018-09-27
Greene,2022-03-03,2022-03-04
Greene,2023-11-08,2023-11-09
Greene,2023-12-23,2024-01-09
Greene,2024-01-26,2025-01-08
Greene,2025-04-02,2025-04-02
Grijalva,2010-04-23,2010-04-23
Gutierrez,2017-09-01,2017-12-31
Harris,2004-10-26,2004-10-26
Harris,2018-03-24,2018-03-24
Harris,2018-10-24,2018-10-24
Harris,2019-01-17,2019-01-17
Harris,2020-12-10,2020-12-10
Harris,2022-06-29,2024-10-02
Hartzler,2018-01-24,2018-01-24
Hassan,2021-05-02,2021-05-02
Hatch,2001-09-01,2001-09-01
Hawley,2019-03-01,2019-04-30
Heitkamp,2016-10-22,2016-12-22
Heller,2017-07-17,2017-07-17
Hern,2018-11-27,2022-05-12
Higgins,2017-07-17,2017-07-17
Higgins,2020-07-24,2020-09-03
Hirono,2016-08-19,2016-08-19
Hirono,2018-12-04,2018-12-04
Inhofe,2020-11-02,2020-11-16
Inhofe,2021-04-06,2021-04-06
Jackson-Lee,2019-01-17,2019-01-17
Jayapal,2022-07-09,2022-07-09
Jeffries,2021-01-06,2021-01-06
Johnson,2020-06-29,2020-06-29
Jolly,2018-02-18,2018-02-18
Jordan,2020-11-04,2020-11-04
Jordan,2025-07-29,2025-07-29
Jordan,2013-10-14,2013-10-14
Kaine,2019-01-17,2019-01-17
Kaptur,2025-06-14,2025-06-14
Katko,2017-10-19,2017-10-19
Katko,2020-07-10,2020-07-10
Katko,2020-07-10,2020-07-10
Kelly,2017-06-14,2017-06-14
King,2019-09-19,2019-09-19
King,2021-02-15,2021-03-11
King,2010-05-05,2011-03-25
Kustoff,2017-05-08,2017-05-08
Kyl,2003-06-20,2003-06-20
Landsman,2025-06-14,2025-06-14
Langworthy,2025-07-13,2025-07-13
Lankford,2021-01-07,2021-01-07
Larson,2023-03-07,2023-12-20
LaTurner,2022-06-05,2022-06-06
Leahy,2001-09-01,2001-09-01
Lee,2023-08-05,2023-08-08
Levin,2010-08-16,2010-08-16
Levin,2010-08-16,2010-08-16
Lieberman,2000-09-15,2000-09-20
Lieberman,2011-08-02,2011-08-02
Lieberman,2001-06-12,2001-06-12
Lieberman,2000-08-14,2000-08-14
Lieberman,2010-05-05,2011-03-25
LoBiondo,2017-09-19,2017-09-19
Lofgren,2005-11-07,2005-11-08
Lummis,2021-01-28,2021-01-28
Maloney,2013-04-02,2013-04-02
Manchin,2021-01-30,2021-02-04
Manchin,2022-02-09,2022-02-09
Manchin,2014-05-17,2014-05-20
Mast,2018-06-18,2018-06-18
McCarthy,2021-05-01,2023-11-01
McCarthy,2023-02-03,2023-02-03
McCarthy,2023-08-23,2023-10-31
McConnell,2018-10-02,2018-10-16
McConnell,2020-11-04,2020-11-04
McConnell,2021-12-21,2021-12-21
McDermott,2010-12-09,2010-12-10
McDermott,2016-04-22,2016-04-22
McEachin,2020-01-30,2020-01-30
McMorris Rodgers,2018-06-30,2018-06-30
McSally,2017-05-02,2017-05-10
Mikulski,2012-02-18,2012-02-20
Miller,2008-06-17,2008-06-17
Miller,2025-06-19,2025-06-20
Miller,2012-10-10,2012-10-10
Moskowitz,2024-11-08,2024-11-02
Mullin,2023-06-01,2023-06-02
Murkowski,2021-09-02,2021-09-28
Murkowski,2023-09-28,2023-10-02
Murphy,2020-07-03,2020-09-05
Murphy,2022-05-24,2022-05-24
Murphy,2023-05-27,2023-05-27
Murray,2010-03-22,2010-04-04
Murray,2024-09-10,2024-09-11
Nadler,2017-01-17,2018-10-29
Neguse,2022-05-19,2022-06-06
Neguse,2022-05-31,2022-05-31
Nehls,2022-05-23,2022-05-28
Obama,2008-12-02,2008-12-02
Obama,2008-09-01,2008-09-01
Obama,2008-07-15,2008-07-28
Obama,2008-07-27,2008-07-27
Obama,2008-08-23,2008-08-23
Obama,2007-01-01,2008-12-31
Obama,2008-08-23,2008-08-23
